player,AST,MIN,vs
Jrue Holiday PG,9,33,Brooklyn Nets
Jayson Tatum SF,4,35.5,Brooklyn Nets
Jaylen Brown SG,4,34,Brooklyn Nets
Derrick White PG,4,31,Brooklyn Nets
Al Horford C,4,33.5,Brooklyn Nets
Payton Pritchard PG,2,24.3,Brooklyn Nets
Oshae Brissett SF,2,11.8,Brooklyn Nets
Kristaps Porzingis C,1,23.7,Brooklyn Nets
Luke Kornet C,1,16.5,Brooklyn Nets
Sam Hauser SF,1,21.8,Brooklyn Nets
Svi Mykhailiuk SG,0,11,Brooklyn Nets
Neemias Queta C,0,13,Brooklyn Nets
Dalano Banton G *,0,4,Brooklyn Nets
Jordan Walsh G,0,18,Brooklyn Nets
Jrue Holiday PG,8,31,Chicago Bulls
Derrick White PG,6,33.3,Chicago Bulls
Jaylen Brown SG,6,34,Chicago Bulls
Jayson Tatum SF,5,36,Chicago Bulls
Payton Pritchard PG,4,25.3,Chicago Bulls
Al Horford C,2,27.3,Chicago Bulls
Luke Kornet C,2,21.3,Chicago Bulls
Sam Hauser SF,1,22.3,Chicago Bulls
Kristaps Porzingis C,1,30,Chicago Bulls
Xavier Tillman F *,1,6.5,Chicago Bulls
Svi Mykhailiuk SG,0,4.3,Chicago Bulls
Lamar Stevens PF *,0,0,Chicago Bulls
Oshae Brissett SF,0,9.5,Chicago Bulls
Dalano Banton G *,0,15,Chicago Bulls
Jaden Springer G *,0,1,Chicago Bulls
Jayson Tatum SF,6,33,Golden State Warriors
Derrick White PG,6,30,Golden State Warriors
Al Horford C,5,29.5,Golden State Warriors
Jaylen Brown SG,5,32,Golden State Warriors
Payton Pritchard PG,4,23.5,Golden State Warriors
Jrue Holiday PG,2,31,Golden State Warriors
Svi Mykhailiuk SG,1,11,Golden State Warriors
Oshae Brissett SF,1,12.5,Golden State Warriors
Neemias Queta C,1,21,Golden State Warriors
Jaden Springer G *,1,12,Golden State Warriors
Sam Hauser SF,0,20,Golden State Warriors
Luke Kornet C,0,11,Golden State Warriors
Xavier Tillman F *,0,18,Golden State Warriors
Jrue Holiday PG,6,32.5,Dallas Mavericks
Derrick White PG,4,33.5,Dallas Mavericks
Jaylen Brown SG,4,33.5,Dallas Mavericks
Jayson Tatum SF,4,39,Dallas Mavericks
Payton Pritchard PG,4,20.5,Dallas Mavericks
Al Horford C,3,29.5,Dallas Mavericks
Kristaps Porzingis C,2,29,Dallas Mavericks
Xavier Tillman F *,2,15,Dallas Mavericks
Luke Kornet C,1,19,Dallas Mavericks
Svi Mykhailiuk SG,1,4,Dallas Mavericks
Sam Hauser SF,0,15.5,Dallas Mavericks
Oshae Brissett SF,0,4,Dallas Mavericks
Jaden Springer G *,0,2,Dallas Mavericks
