river,station,length,weight,mercury
0,0,47,1.616,1.6
0,0,48.7,1.862,1.5
0,0,55.7,2.855,1.7
0,0,45.2,1.199,0.73
0,0,44.7,1.32,0.56
0,0,43.8,1.225,0.51
0,0,38.5,0.87,0.48
0,0,45.8,1.455,0.95
0,0,44,1.22,1.4
0,0,40.4,1.033,0.5
0,1,47.7,3.378,0.8
0,1,45.1,2.92,0.34
0,1,43.5,2.674,0.54
0,1,47.4,3.675,0.69
0,1,41,1.904,0.9
0,1,33.7,1.08,0.48
0,1,33.5,1.146,0.57
0,1,32.2,1.002,0.41
0,1,32,0.894,0.61
0,1,29.5,0.754,0.38
0,1,34.9,1.174,0.61
0,1,47.1,1.435,1.5
0,1,44.2,1.378,0.72
0,1,41,1.059,1.8
0,1,41.6,0.873,1.6
0,1,39,0.857,0.98
0,1,38,0.743,0.88
0,1,36.1,0.622,1.5
0,1,33.4,0.503,0.73
0,2,32.8,0.406,1.2
0,2,31.4,0.362,1.1
0,2,33.6,0.36,1.6
0,2,29.5,0.313,0.87
0,2,30.5,0.314,0.9
0,2,27,0.238,0.91
0,2,30,0.336,0.61
0,2,30,0.329,0.85
0,2,33.5,0.448,0.99
0,2,31,0.263,1.5
0,2,29,0.271,0.7
0,2,65,4.511,2.1
0,2,58,3.597,1.5
0,3,36,0.6,1.5
0,3,36,0.65,0.91
0,3,44,1.132,1.8
0,3,40.5,0.863,1.1
0,3,38.5,0.773,1.3
0,3,40,0.898,1.2
0,3,44.5,1.301,1.6
0,3,50.5,2.021,1.2
0,3,50,1.883,1.2
0,3,47,1.546,1.2
0,4,26,0.234,0.28
0,4,30,0.323,0.51
0,4,30,0.43,0.27
0,4,29,0.353,0.35
0,4,31,0.402,0.57
0,4,41,1.042,0.66
0,4,36.5,0.723,0.49
0,4,38,0.709,0.51
0,4,44,1.455,0.73
0,4,27.5,0.308,0.94
0,4,39,0.879,1.4
0,4,48,1.396,2.7
0,4,51.5,2.369,1.8
0,4,56,3.421,3.1
0,5,30.5,0.4,0.5
0,5,42,1.049,1.2
0,5,34,0.678,0.55
0,6,50.5,2.228,3.5
0,6,44.5,1.853,2.7
0,6,30,0.38,1.4
0,6,35,0.62,0.73
1,7,30.4,0.32,0.51
1,7,25.2,0.217,0.23
1,7,36,0.574,1.6
1,7,29.9,0.298,0.48
1,7,34.7,0.491,0.58
1,7,34.7,0.491,0.58
1,7,31.7,0.407,0.5
1,7,34.5,0.496,0.58
1,7,40.1,0.805,1.4
1,7,30.7,0.315,0.44
1,8,33,0.518,0.55
1,8,40.5,0.97,0.84
1,8,32,0.421,0.65
1,8,37,0.673,0.76
1,8,35.5,0.55,0.65
1,8,30,0.331,0.5
1,8,40,0.856,1.1
1,8,35,0.487,1
1,8,39.5,0.923,1.2
1,8,31,0.415,0.53
1,8,31.5,0.521,0.74
1,8,30,0.348,0.41
1,8,33,0.44,0.78
1,8,47,0.586,1.3
1,9,54,2.664,1.8
1,9,57.6,3.283,1.4
1,9,46.2,1.573,0.75
1,10,34.8,0.491,0.57
1,10,34.5,0.56,0.69
1,10,38.5,0.87,1.8
1,10,40,0.864,0.93
1,10,46.4,1.285,3.4
1,10,41.9,1.188,2.4
1,10,46.2,1.365,0.88
1,10,47.3,1.632,1.5
1,10,47.1,1.725,1.8
1,10,39,0.977,1.5
1,10,56.5,2.451,2.1
1,10,46.1,1.327,0.91
1,10,28.5,0.303,0.61
1,10,25.5,0.203,0.76
1,10,40.2,0.796,0.86
1,10,44.5,1.202,2.2
1,10,36.5,0.566,2.9
1,10,33.3,0.46,0.89
1,10,28.3,0.274,0.5
1,10,46,1.342,2.2
1,10,36.7,0.647,2.4
1,11,39,0.844,0.69
1,11,53,3.026,2.7
1,11,43,1.258,0.9
1,11,47.2,1.699,1.9
1,11,36.5,0.656,0.65
1,11,43.2,1.356,1.2
1,11,41.5,1.018,0.83
1,11,36,0.874,1.3
1,11,36.2,0.708,1.3
1,12,27.3,0.25,0.28
1,12,26.7,0.252,0.21
1,12,27.5,0.283,0.14
1,12,39,0.743,0.39
1,12,33.9,0.465,0.39
1,12,29.6,0.329,0.9
1,12,46.5,1.292,0.64
1,12,57.5,2.401,1.4
1,12,49,1.891,0.58
1,12,34.9,0.498,0.42
1,12,29,0.307,0.11
1,12,31.5,0.376,0.28
1,12,38.2,0.573,0.59
1,13,28.6,0.338,1.1
1,13,36.8,0.714,1.6
1,13,43.4,1.251,1.3
1,13,48.1,1.801,0.88
1,14,50.8,2.131,1.8
1,14,46.8,1.604,1.8
1,14,40.2,1.09,1.2
1,14,58.7,3.314,2.9
1,14,56.1,2.629,3.4
1,14,48,1.743,1.9
1,14,44.7,1.454,2.4
1,14,43.6,1.245,1.8
1,14,37.6,0.937,2.4
1,14,40,0.869,1.4
1,14,37.4,0.879,1.6
1,14,46.5,0.772,1.7
1,14,36,0.724,1.3
1,15,50.4,1.744,0.93
1,15,59.2,3.524,3.6
1,15,58.4,2.902,3.5
1,15,54,2.709,2.4
1,15,53.7,2.625,2.9
1,15,49.5,1.924,2.3
1,15,47.5,1.546,1.4
1,15,54.2,3.164,2.1
1,15,45.4,1.71,1.7
1,15,41.7,1.255,1.4
1,15,36,0.702,0.92
